"Country","Year","Nationalism_vote_share"
"AT",1995,0.218852337865444
"AT",1999,0.269145938938865
"AT",2002,0.100074037939607
"AT",2006,0.151464409197327
"AT",2008,0.282356200518527
"AT",2013,0.24037531534292
"AT",2017,0.259656890658627
"AT",2019,0.161897880075676
"BE",1995,0.0783387688937395
"BE",1999,0.0987112480475772
"BE",2003,0.116795941200109
"BE",2007,0.119892195894091
"BE",2010,0.090496213863875
"BE",2014,0.0519410718021537
"BE",2019,0.130560878797523
"BG",2005,0.081368859021917
"BG",2009,0.0936381529101598
"BG",2013,0.072981256414564
"BG",2014,0.0451578829383113
"BG",2017,0.0201458085889177
"BG",2021,0.0139420464461358
"BG",2022,0.0029283734433977
"CY",1996,0.344716538437599
"CY",2001,0.340717276427225
"CY",2006,0.303443231446233
"CY",2011,0.353544566300111
"CY",2016,0.343966373449368
"CY",2021,0.345481840139553
"CZ",1996,0.080055254682331
"CZ",1998,0.0390258488769169
"CZ",2002,0.00971580153212894
"CZ",2010,0.00038100816710983
"CZ",2013,0.0688813082698053
"CZ",2017,0.108369317724871
"CZ",2021,0.0956095618864056
"DE",2013,0.0470416853203441
"DE",2017,0.126368974018376
"DE",2021,0.103438689567851
"DK",1998,0.0983165868907107
"DK",2001,0.125614117068657
"DK",2005,0.132534674605
"DK",2007,0.13861629984217
"DK",2011,0.123182135112631
"DK",2015,0.210783955723622
"DK",2019,0.110913096168439
"DK",2022,0.0630885940410605
"ES",2019,0.25549630713548
"ES",2023,0.124839642111658
"FI",1995,0.0130118762812752
"FI",1999,0.00986092147402128
"FI",2003,0.0156947757272571
"FI",2007,0.0404637529035021
"FI",2011,0.190529502434199
"FI",2015,0.176540757342446
"FI",2019,0.174827931715206
"FI",2023,0.200600916654714
"FR",1997,0.149405202063306
"FR",2002,0.111245201519068
"FR",2007,0.0428846560606675
"FR",2012,0.135964326704815
"FR",2017,0.13200460630549
"FR",2022,0.18679232989054
"GR",1996,0.0006688341985525
"GR",2004,0.0219335578900309
"GR",2007,0.0379674217342463
"GR",2009,0.059167069825331
"GR",2012,0.364884949033705
"GR",2015,0.227447093056157
"GR",2019,0.0663613077696593
"GR",2023,0.0888580523549442
"HR",1995,0.502403848142654
"HR",2000,0.287031538492704
"HR",2003,0.402860949742372
"HR",2007,0.400494150883528
"HR",2011,0.253849224809762
"HR",2015,0.207975592526015
"HR",2016,0.193559882371801
"HR",2020,0.418020951839961
"HU",1998,0.0554887308585152
"HU",2002,0.0436775715493835
"HU",2010,0.166919985480848
"HU",2014,0.202180029453003
"HU",2018,0.192160435903112
"HU",2022,0.0906221420717382
"IT",1996,0.257356273935625
"IT",2001,0.159673026607708
"IT",2006,0.165206928748288
"IT",2008,0.0805537651702718
"IT",2013,0.0397283346042585
"IT",2018,0.17487727614263
"IT",2022,0.084308853910366
"LT",2004,0.113583767892912
"LT",2008,0.12676879736334
"LT",2012,0.0763057412220198
"LT",2016,0.0555474102802475
"LV",1995,0.269581611912425
"LV",1998,0.147316658661066
"LV",2002,0.0539217913878227
"LV",2006,0.0694124258920503
"LV",2010,0.0783510173841717
"LV",2011,0.140063905643384
"LV",2014,0.167193211977876
"LV",2018,0.254144219308701
"LV",2022,0.0972999173342452
"NL",1998,0.00606729697191624
"NL",2002,0.169958442934078
"NL",2003,0.0569658111911834
"NL",2006,0.0610291031838306
"NL",2010,0.154470353178595
"NL",2012,0.100831844706759
"NL",2017,0.148354594661622
"NL",2021,0.181733847894991
"NL",2023,0.264090123882092
"PL",2015,0.0880944005695538
"PL",2019,0.0680511469239677
"PL",2023,0.0192713233879652
"PT",1999,0.00306982829059511
"PT",2002,0.00231052459046334
"PT",2009,0.00277224874020894
"PT",2011,0.00274162750789289
"PT",2015,0.00286128061370503
"PT",2019,0.0152652058521727
"PT",2022,0.0738169135881086
"RO",1996,0.0898826562786743
"RO",2000,0.209757086723427
"RO",2004,0.129902451151585
"RO",2008,0.0315959792030951
"RO",2012,0.152384479324598
"RO",2016,0.0103959142853575
"RO",2020,0.00553290864948401
"SE",1998,0.00373000283969845
"SE",2002,0.0143875070429015
"SE",2006,0.0292658735520001
"SE",2010,0.0569776431412078
"SE",2014,0.128567538244357
"SE",2018,0.17533969714632
"SE",2022,0.205366981413734
"SI",1996,0.0321940434192165
"SI",2000,0.0438923568535652
"SI",2004,0.0627082533351501
"SI",2008,0.0540316991292294
"SI",2011,0.0179531796606233
"SI",2014,0.021981239655904
"SI",2018,0.0417260971588952
"SI",2022,0.0148755381437281
"SK",1998,0.360785502158863
"SK",2002,0.228280177149791
"SK",2006,0.205272022227056
"SK",2010,0.107415043577787
"SK",2012,0.0707405571310313
"SK",2016,0.233160770779408
"SK",2020,0.193774030361154
"SK",2023,0.0868194168528817
